movie_id,movie_name,runtime_min,mpa_rating,movie_year,genre
1,Dick Johnson Is Dead,90,PG-13,2020,Documentaries
2,Confessions of an Invisible Girl,91,TV-PG,2021,"Children & Family Movies, Comedies"
3,Sankofa,125,TV-MA,1993,"Dramas, Independent Movies, International Movies"
4,The Starling,104,PG-13,2021,"Comedies, Dramas"
5,Motu Patlu in the Game of Zones,87,TV-Y7,2019,"Children & Family Movies, Comedies, Music & Musicals"
6,Je Suis Karl,127,TV-MA,2021,"Dramas, International Movies"
7,Motu Patlu in Wonderland,76,TV-Y7,2013,"Children & Family Movies, Music & Musicals"
8,Motu Patlu: Deep Sea Adventure,76,TV-Y7,2014,"Children & Family Movies, Comedies"
9,Motu Patlu: Mission Moon,71,TV-Y7,2013,"Children & Family Movies, Comedies"
10,99 Songs (Tamil),131,TV-14,2021,"Dramas, International Movies, Music & Musicals"
11,The Circle - The Afterparty,35,TV-14,2021,Comedies
12,True: Winter Wishes,46,TV-Y,2019,Children & Family Movies
13,My Little Pony: A New Generation,91,PG,2021,Children & Family Movies
14,Europe's Most Dangerous Man: Otto Skorzeny in Spain,67,TV-MA,2020,"Documentaries, International Movies"
15,Samudri Lootere,65,TV-Y,2018,Children & Family Movies
16,Go! Go! Cory Carson: Chrissy Takes the Wheel,61,TV-Y,2021,Children & Family Movies
17,Jeans,166,TV-14,1998,"Comedies, International Movies, Romantic Movies"
18,Grown Ups,103,PG-13,2010,Comedies
19,Dark Skies,97,PG-13,2013,"Horror Movies, Sci-Fi & Fantasy"
20,Paranoia,106,PG-13,2013,Thrillers
21,Minsara Kanavu,147,TV-PG,1997,"Comedies, International Movies, Music & Musicals"
22,Intrusion,94,TV-14,2021,Thrillers
23,Avvai Shanmughi,161,TV-PG,1996,"Comedies, International Movies"
24,Ankahi Kahaniya,111,TV-14,2021,"Dramas, Independent Movies, International Movies"
25,The Father Who Moves Mountains,110,TV-MA,2021,"Dramas, International Movies, Thrillers"
26,The Stronghold,105,TV-MA,2021,"Action & Adventure, Dramas, International Movies"
27,Birth of the Dragon,96,PG-13,2017,"Action & Adventure, Dramas"
28,You vs. Wild: Out Cold,106,TV-G,2021,Children & Family Movies
29,Jaws,124,PG,1975,"Action & Adventure, Classic Movies, Dramas"
30,Jaws 2,116,PG,1978,"Dramas, Horror Movies, Thrillers"
31,Jaws 3,98,PG,1983,"Action & Adventure, Horror Movies, Thrillers"
32,Jaws: The Revenge,91,PG-13,1987,"Action & Adventure, Horror Movies, Thrillers"
33,Safe House,115,R,2012,Action & Adventure
34,Training Day,122,R,2001,"Dramas, Thrillers"
35,Dolly Parton: A MusiCares Tribute,55,TV-PG,2021,"Documentaries, Music & Musicals"
36,InuYasha the Movie 2: The Castle Beyond the Looking Glass,99,TV-14,2002,"Action & Adventure, Anime Features, International Movies"
37,InuYasha the Movie 3: Swords of an Honorable Ruler,99,TV-14,2003,"Action & Adventure, Anime Features, International Movies"
38,InuYasha the Movie 4: Fire on the Mystic Island,88,TV-PG,2004,"Action & Adventure, Anime Features, International Movies"
39,InuYasha the Movie: Affections Touching Across Time,100,TV-PG,2001,"Action & Adventure, Anime Features, International Movies"
40,My Heroes Were Cowboys,23,PG,2021,Documentaries
41,Naruto Shippuden the Movie: Blood Prison,102,TV-14,2011,"Action & Adventure, Anime Features, International Movies"
42,Naruto ShippÃ»den the Movie: Bonds,93,TV-PG,2008,"Action & Adventure, Anime Features, International Movies"
43,Naruto ShippÃ»den the Movie: The Will of Fire,96,TV-PG,2009,"Action & Adventure, Anime Features, International Movies"
44,Naruto Shippuden: The Movie,95,TV-PG,2007,"Action & Adventure, Anime Features, International Movies"
45,Naruto Shippuden: The Movie: The Lost Tower,85,TV-14,2010,"Action & Adventure, Anime Features, International Movies"
46,Naruto the Movie 2: Legend of the Stone of Gelel,97,TV-PG,2005,"Action & Adventure, Anime Features, International Movies"
47,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,95,TV-PG,2006,"Action & Adventure, Anime Features, International Movies"
48,Naruto the Movie: Ninja Clash in the Land of Snow,83,TV-PG,2004,"Action & Adventure, Anime Features, International Movies"
49,King of Boys,182,TV-MA,2018,"Dramas, International Movies"
50,Kate,106,R,2021,Action & Adventure
51,Omo Ghetto: the Saga,147,TV-MA,2020,"Action & Adventure, Comedies, Dramas"
52,Prey,87,TV-MA,2021,"International Movies, Thrillers"
53,9to5: The Story of a Movement,85,TV-MA,2021,Documentaries
54,Paradise Hills,95,TV-MA,2019,"Sci-Fi & Fantasy, Thrillers"
55,The Women and the Murderer,92,TV-14,2021,"Documentaries, International Movies"
56,Show Dogs,90,PG,2018,"Children & Family Movies, Comedies"
57,Why Did You Kill Me?,84,TV-MA,2021,Documentaries
